,actual_target,new_model_prediction,new_model_probability,reference_prediction,reference_probability,new_model_correct,reference_correct,comparison_status
0,1,1,0.6786666666666666,1,0.87,True,True,both_correct
1,1,1,0.6191388888888889,1,0.995,True,True,both_correct
2,1,1,0.5570555555555555,1,0.985,True,True,both_correct
3,1,1,0.6011904761904762,1,0.67525,True,True,both_correct
4,1,1,0.6644444444444445,1,0.86875,True,True,both_correct
5,1,1,0.6191388888888889,1,0.995,True,True,both_correct
6,1,1,0.7033333333333334,1,0.890416666667,True,True,both_correct
7,0,1,0.5133333333333333,0,0.3,False,True,reference_only_correct
8,0,0,0.45,0,0.18,True,True,both_correct
9,1,1,0.5733333333333334,1,0.98,True,True,both_correct
10,1,1,0.5133333333333333,1,0.985,True,True,both_correct
11,1,1,0.6466666666666666,1,0.905,True,True,both_correct
12,1,1,0.6733333333333333,1,0.945,True,True,both_correct
13,1,1,0.5415555555555556,1,0.872321428571,True,True,both_correct
14,0,1,0.6833333333333333,1,0.945,False,False,both_wrong
15,0,1,0.6633333333333333,0,0.275,False,True,reference_only_correct
16,0,1,0.59,0,0.335,False,True,reference_only_correct
17,1,1,0.63,1,0.99,True,True,both_correct
18,1,1,0.6766666666666666,1,0.98,True,True,both_correct
19,1,1,0.61,1,0.975,True,True,both_correct
20,1,1,0.6833333333333333,1,0.895,True,True,both_correct
21,0,0,0.4033333333333333,1,0.715,True,False,new_model_only_correct
22,0,0,0.4,0,0.355,True,True,both_correct
23,0,1,0.52,0,0.225,False,True,reference_only_correct
24,0,0,0.47,0,0.33,True,True,both_correct
25,1,1,0.6866666666666666,1,0.955,True,True,both_correct
26,1,1,0.76,1,0.93,True,True,both_correct
27,1,1,0.7133333333333334,1,0.945,True,True,both_correct
28,1,1,0.6104942279942279,1,0.71125,True,True,both_correct
29,1,1,0.6281111111111112,1,0.804166666667,True,True,both_correct
30,1,1,0.6266666666666667,1,0.94,True,True,both_correct
31,1,0,0.49333333333333335,1,0.935,False,True,reference_only_correct
32,1,0,0.48333333333333334,1,0.805,False,True,reference_only_correct
33,1,1,0.71,1,0.955,True,True,both_correct
34,1,1,0.5733333333333334,1,0.955,True,True,both_correct
35,1,1,0.6633333333333333,1,0.92,True,True,both_correct
36,1,1,0.59,1,0.88,True,True,both_correct
37,1,1,0.6066666666666667,1,0.92,True,True,both_correct
38,1,1,0.6166666666666667,1,0.94,True,True,both_correct
39,1,1,0.6466666666666666,1,0.955,True,True,both_correct
40,1,1,0.5666666666666667,1,0.945,True,True,both_correct
41,1,0,0.49333333333333335,1,0.975,False,True,reference_only_correct
42,1,1,0.8,1,0.91,True,True,both_correct
43,1,1,0.7866666666666666,1,0.985,True,True,both_correct
44,1,1,0.6321880888719125,1,0.891548534799,True,True,both_correct
45,1,1,0.7011587301587302,1,0.944,True,True,both_correct
46,1,1,0.5651111111111111,1,0.8925,True,True,both_correct
47,1,1,0.625,0,0.493821428571,True,False,new_model_only_correct
48,1,1,0.5223253968253969,1,0.83725,True,True,both_correct
49,1,1,0.6295191798941799,1,0.621012432012,True,True,both_correct
50,1,1,0.5557777777777777,1,0.791666666667,True,True,both_correct
51,1,1,0.6339126984126984,0,0.482333333333,True,False,new_model_only_correct
52,1,1,0.6846212121212122,1,0.96,True,True,both_correct
53,1,1,0.6803939393939394,1,0.957333333333,True,True,both_correct
54,1,1,0.6501868686868685,1,0.884166666667,True,True,both_correct
55,1,1,0.5588333333333333,1,0.95125,True,True,both_correct
56,1,1,0.5945695045695045,1,0.91,True,True,both_correct
57,1,1,0.6056717171717171,1,0.8575,True,True,both_correct
58,1,1,0.6266507936507937,1,0.91,True,True,both_correct
59,1,1,0.6249444444444445,1,0.8775,True,True,both_correct
